Date,Price,Ticker,Daily_Return,MA20,MA50,MA200,Vol20
2023-09-26,170.2919921875,AAPL,-0.02339851969513229,172.33201599121094,172.33201599121094,172.33201599121094,
2023-09-27,168.77684020996094,AAPL,-0.008897376547634783,171.14695739746094,171.14695739746094,171.14695739746094,
2023-09-28,169.03431701660156,AAPL,0.0015255458410070588,170.6187973022461,170.6187973022461,170.6187973022461,
2023-09-29,169.5492706298828,AAPL,0.0030464441917477103,170.40489196777344,170.40489196777344,170.40489196777344,
2023-10-02,172.06463623046875,AAPL,0.014835602602365938,170.681516011556,170.681516011556,170.681516011556,
2023-10-03,170.72772216796875,AAPL,-0.007769836334697522,170.68811689104353,170.68811689104353,170.68811689104353,
2023-10-04,171.9755096435547,AAPL,0.007308640095123664,170.84904098510742,170.84904098510742,170.84904098510742,
2023-10-05,173.21337890625,AAPL,0.007197939202279402,171.11174519856772,171.11174519856772,171.11174519856772,
2023-10-06,175.76837158203125,AAPL,0.014750550401560591,171.57740783691406,171.57740783691406,171.57740783691406,
2023-10-09,177.25384521484375,AAPL,0.008451313620546408,172.09344759854403,172.09344759854403,172.09344759854403,
2023-10-10,176.6596221923828,AAPL,-0.003352384382638962,172.4739621480306,172.4739621480306,172.4739621480306,
2023-10-11,178.0559539794922,AAPL,0.007904080003005909,172.9033461350661,172.9033461350661,172.9033461350661,
2023-10-12,178.95712280273438,AAPL,0.005061155232955583,173.33575875418526,173.33575875418526,173.33575875418526,
2023-10-13,177.1151885986328,AAPL,-0.010292600681404251,173.5877207438151,173.5877207438151,173.5877207438151,
2023-10-16,176.98643493652344,AAPL,-0.0007269487339177649,173.80014038085938,173.80014038085938,173.80014038085938,
2023-10-17,175.43167114257812,AAPL,-0.008784649481769269,173.89611277860755,173.89611277860755,173.89611277860755,
2023-10-18,174.13438415527344,AAPL,-0.007394827734670262,173.9093500773112,173.9093500773112,173.9093500773112,
2023-10-19,173.75808715820312,AAPL,-0.002160957463373636,173.90138887104234,173.90138887104234,173.90138887104234,
